Trans_ID|Acc_ID|Time_Stamp|Amount|Trans_Type
438776|55814719|12092023 01:00|6900|Credit
346151|44735989|12142023 01:00|8400|Debit
297886|29490405|12132023 01:00|4900|Credit
882519|33295781|12152023 01:00|4700|Credit
242424|40319596|12142023 01:00|3400|Debit
388477|35203058|12192023 01:00|3500|Credit
713952|74372208|12142023 01:00|5900|Credit
840148|51877923|11272023 01:00|5000|Debit
840789|45649440|11252023 01:00|4700|Credit
725386|37797229|11252023 01:00|4900|Debit
678471|81593550|11302023 01:00|6800|Debit
697571|82852014|11302023 01:00|2200|Credit
462695|45253028|11272023 01:00|8100|Credit
239029|50099533|12022023 01:00|6200|Debit
293635|41455350|12012023 01:00|4000|Credit
463082|76179240|12052023 01:00|1100|Debit
759641|40840221|12022023 01:00|4600|Debit
509327|77843316|12032023 01:00|1900|Credit
244132|46910400|12052023 01:00|1700|Credit
277413|55519972|12052023 01:00|5500|Debit
241834|80760915|12092023 01:00|3700|Credit
241499|47413637|12092023 01:00|6300|Debit
257629|60528591|12142023 01:00|8600|Credit
447899|54577337|12132023 01:00|2600|Debit
251335|79313209|12152023 01:00|5400|Credit
704079|47854303|12142023 01:00|3400|Debit
772946|65289692|12192023 01:00|3500|Credit
662785|68616093|12142023 01:00|5900|Credit
361519|34140764|12182023 01:00|3900|Debit
812080|36801786|12182023 01:00|3600|Credit
496740|55814719|12182023 01:00|7500|Debit
255911|44735989|12172023 01:00|2400|Credit
